wavelength (A),flux density (erg/cm2/s/A)
3108.5852,1.2383E-12
3111.3315,1.2304E-12
3114.0779,1.1845E-12
3116.8245,1.0689E-12
3119.5708,1.0049E-12
3122.3171,1.0288E-12
3125.0637,1.0520E-12
3127.8101,1.0829E-12
3130.5566,1.0900E-12
3133.303,1.0945E-12
3136.0496,1.1357E-12
3138.7961,1.1060E-12
3141.5427,1.0573E-12
3144.2893,9.1916E-13
3147.0359,1.0345E-12
3149.7825,1.1312E-12
3152.5291,1.0817E-12
3155.2756,9.9135E-13
3158.0222,9.1257E-13
3160.7688,8.6551E-13
3163.5156,1.0016E-12
3166.2622,1.0827E-12
3169.009,1.1841E-12
3171.7556,1.2639E-12
3174.5024,1.2599E-12
3177.2493,1.1294E-12
3179.9961,9.4606E-13
3182.7427,9.6626E-13
3185.4895,1.0706E-12
3188.2363,1.1517E-12
3190.9832,1.0666E-12
3193.73,1.0201E-12
3196.4771,1.1292E-12
3199.2239,1.2361E-12
3201.9707,1.2856E-12
3204.7178,1.3376E-12
3207.4646,1.2278E-12
3210.2114,1.0481E-12
3212.9585,9.8851E-13
3215.7056,1.0864E-12
3218.4524,1.1985E-12
3221.1995,1.1690E-12
3223.9465,1.0887E-12
3226.6936,9.9337E-13
3229.4407,9.7704E-13
3232.1877,1.0467E-12
3234.9348,1.0398E-12
3237.6819,1.1086E-12
3240.429,1.1932E-12
3243.176,1.2299E-12
3245.9231,1.2588E-12
3248.6704,1.2025E-12
3251.4175,1.2595E-12
3254.1646,1.3884E-12
3256.9119,1.5116E-12
3259.6592,1.5700E-12
3262.4062,1.5214E-12
3265.1536,1.4888E-12
3267.9009,1.5540E-12
3270.6479,1.5016E-12
3273.3953,1.5059E-12
3276.1426,1.4893E-12
3278.8899,1.4545E-12
3281.6372,1.4476E-12
3284.3845,1.4189E-12
3287.1318,1.3855E-12
3289.8794,1.5477E-12
3292.6267,1.6688E-12
3295.374,1.7108E-12
3298.1213,1.7067E-12
3300.8689,1.6897E-12
3303.6162,1.5445E-12
3306.3638,1.4374E-12
3309.1111,1.5273E-12
3311.8586,1.5408E-12
3314.6062,1.4983E-12
3317.3535,1.5487E-12
3320.1011,1.5107E-12
3322.8486,1.4334E-12
3325.5962,1.4913E-12
3328.3438,1.4792E-12
3331.0913,1.4656E-12
3333.8389,1.4414E-12
3336.5864,1.3510E-12
3339.334,1.4304E-12
3342.0815,1.4777E-12
3344.8291,1.5285E-12
3347.5769,1.4948E-12
3350.3245,1.4425E-12
3353.072,1.5659E-12
3355.8198,1.5589E-12
3358.5674,1.3071E-12
3361.3152,1.1545E-12
3364.0627,1.3802E-12
3366.8105,1.3665E-12
3369.5583,1.2195E-12
3372.3059,1.2335E-12
3375.0537,1.4397E-12
3377.8015,1.4764E-12
3380.5493,1.3313E-12
3383.2971,1.4156E-12
3386.0449,1.4526E-12
3388.7927,1.4827E-12
3391.5405,1.4355E-12
3394.2883,1.4315E-12
3397.0361,1.6006E-12
3399.7839,1.7124E-12
3402.5317,1.6440E-12
3405.2795,1.5473E-12
3408.0276,1.4842E-12
3410.7754,1.4882E-12
3413.5232,1.3901E-12
3416.2712,1.4296E-12
3419.019,1.5728E-12
3421.7671,1.5790E-12
3424.5149,1.5215E-12
3427.2629,1.5620E-12
3430.011,1.6681E-12
3432.7588,1.5890E-12
3435.5068,1.5526E-12
3438.2549,1.3812E-12
3441.0029,1.1220E-12
3443.7507,1.1250E-12
3446.4988,1.2952E-12
3449.2468,1.4491E-12
3451.9949,1.4988E-12
3454.7429,1.5309E-12
3457.491,1.4798E-12
3460.239,1.3683E-12
3462.9871,1.4270E-12
3465.7354,1.4941E-12
3468.4834,1.5534E-12
3471.2314,1.5440E-12
3473.9795,1.3736E-12
3476.7278,1.2982E-12
3479.4758,1.4685E-12
3482.2239,1.5166E-12
3484.9722,1.4825E-12
3487.7202,1.5071E-12
3490.4685,1.4090E-12
3493.2166,1.3458E-12
3495.9648,1.3904E-12
3498.7129,1.5014E-12
3501.4612,1.6757E-12
3504.2095,1.7103E-12
3506.9575,1.6660E-12
3509.7058,1.5829E-12
3512.4541,1.4866E-12
3515.2024,1.4726E-12
3517.9504,1.6329E-12
3520.6987,1.5526E-12
3523.447,1.3680E-12
3526.1953,1.3869E-12
3528.9436,1.5004E-12
3531.6919,1.6055E-12
3534.4402,1.6622E-12
3537.1885,1.7158E-12
3539.9368,1.7467E-12
3542.6851,1.7362E-12
3545.4336,1.7989E-12
