# wavelength (A)  flux density (erg/cm2/s/A)
       3545.4336  1.79890e-12
       3548.1819  1.78430e-12
       3550.9302  1.78330e-12
       3553.6785  1.67840e-12
       3556.4268  1.62760e-12
       3559.1753  1.62220e-12
       3561.9236  1.67790e-12
       3564.6719  1.53010e-12
       3567.4204  1.30940e-12
       3570.1687  1.21550e-12
       3572.9172  1.31090e-12
       3575.6655  1.41870e-12
       3578.4141  1.36410e-12
       3581.1624  1.14030e-12
       3583.9109  1.10450e-12
       3586.6592  1.09970e-12
       3589.4077  1.30330e-12
       3592.1560  1.56510e-12
       3594.9045  1.64410e-12
       3597.6531  1.75940e-12
       3600.4014  1.76610e-12
       3603.1499  1.61880e-12
       3605.8984  1.46590e-12
       3608.6470  1.34420e-12
       3611.3953  1.37620e-12
       3614.1438  1.46560e-12
       3616.8923  1.48040e-12
       3619.6409  1.30040e-12
       3622.3894  1.48570e-12
       3625.1379  1.65960e-12
       3627.8865  1.79730e-12
       3630.6350  1.57080e-12
       3633.3835  1.39540e-12
       3636.1321  1.52170e-12
       3638.8806  1.68280e-12
       3641.6292  1.74490e-12
       3644.3777  1.60740e-12
       3647.1262  1.47440e-12
       3649.8748  1.49040e-12
       3652.6233  1.69190e-12
       3655.3718  1.86540e-12
       3658.1204  1.94300e-12
       3660.8691  1.98330e-12
       3663.6177  1.92640e-12
       3666.3662  1.87270e-12
       3669.1147  1.84260e-12
       3671.8635  1.85900e-12
       3674.6121  1.86980e-12
       3677.3606  1.82700e-12
       3680.1091  1.67290e-12
       3682.8579  1.70820e-12
       3685.6064  1.69720e-12
       3688.3550  1.64560e-12
       3691.1038  1.83570e-12
       3693.8523  1.93470e-12
       3696.6011  1.93770e-12
       3699.3496  2.00530e-12
       3702.0984  1.97530e-12
       3704.8469  1.71730e-12
       3707.5955  1.55500e-12
       3710.3442  1.65930e-12
       3713.0928  1.92070e-12
       3715.8416  2.02330e-12
       3718.5901  1.75860e-12
       3721.3389  1.38450e-12
       3724.0876  1.51870e-12
       3726.8362  1.74970e-12
       3729.5850  1.71060e-12
       3732.3335  1.52960e-12
       3735.0823  1.19020e-12
       3737.8311  1.23900e-12
       3740.5796  1.55430e-12
       3743.3284  1.57460e-12
       3746.0769  1.29970e-12
       3748.8257  1.18910e-12
       3751.5745  1.43090e-12
       3754.3232  1.73920e-12
       3757.0718  1.83680e-12
       3759.8206  1.55710e-12
       3762.5693  1.65830e-12
       3765.3179  1.64860e-12
       3768.0667  1.67460e-12
       3770.8154  1.77600e-12
       3773.5642  1.95500e-12
       3776.3127  2.06350e-12
       3779.0615  2.13860e-12
       3781.8103  2.23020e-12
       3784.5591  2.20090e-12
       3787.3076  1.95170e-12
       3790.0564  1.81330e-12
       3792.8052  1.79530e-12
       3795.5540  1.66690e-12
       3798.3027  1.58900e-12
       3801.0515  1.73900e-12
       3803.8000  2.02370e-12
       3806.5488  2.04430e-12
       3809.2976  2.03020e-12
       3812.0464  2.01370e-12
       3814.7952  1.69850e-12
       3817.5439  1.55070e-12
       3820.2925  1.47670e-12
       3823.0413  1.41690e-12
       3825.7900  1.24090e-12
       3828.5388  1.14790e-12
       3831.2876  1.15940e-12
       3834.0364  1.08130e-12
       3836.7852  1.12390e-12
       3839.5337  1.13180e-12
       3842.2825  1.37790e-12
       3845.0312  1.71920e-12
       3847.7800  1.84350e-12
       3850.5288  1.83280e-12
       3853.2776  1.82450e-12
       3856.0264  1.70050e-12
       3858.7751  1.55980e-12
       3861.5239  1.51280e-12
       3864.2725  1.72720e-12
       3867.0212  1.84880e-12
       3869.7700  1.75590e-12
       3872.5188  1.59490e-12
       3875.2676  1.70990e-12
       3878.0164  1.68870e-12
       3880.7651  1.63020e-12
       3883.5139  1.60720e-12
       3886.2625  1.52830e-12
       3889.0112  1.45680e-12
       3891.7600  1.66450e-12
       3894.5088  1.79970e-12
       3897.2576  1.88270e-12
       3900.0063  1.87570e-12
       3902.7551  1.82530e-12
       3905.5037  1.74140e-12
       3908.2524  1.86970e-12
       3911.0012  2.05190e-12
       3913.7500  2.08750e-12
       3916.4988  2.01710e-12
       3919.2476  1.89890e-12
       3921.9961  1.70580e-12
       3924.7449  1.62580e-12
       3927.4937  1.39360e-12
       3930.2424  1.01060e-12
       3932.9912  7.35430e-13
       3935.7397  7.17710e-13
       3938.4885  1.00390e-12
       3941.2373  1.32900e-12
       3943.9861  1.48490e-12
       3946.7349  1.70980e-12
       3949.4834  1.85340e-12
       3952.2322  1.97170e-12
       3954.9810  1.97460e-12
       3957.7295  1.90630e-12
       3960.4783  1.79450e-12
       3963.2271  1.41450e-12
       3965.9758  1.10510e-12
       3968.7244  8.32570e-13
       3971.4731  9.51680e-13
       3974.2219  1.31990e-12
       3976.9705  1.71930e-12
       3979.7192  2.04710e-12
       3982.4680  2.16670e-12
       3985.2166  2.23500e-12
       3987.9653  2.30270e-12
       3990.7139  2.39380e-12
       3993.4626  2.46740e-12
       3996.2112  2.44810e-12
       3998.9600  2.44550e-12
       4001.7087  2.52690e-12
       4004.4573  2.48310e-12
       4007.2061  2.35990e-12
       4009.9546  2.52480e-12
       4012.7034  2.60350e-12
       4015.4519  2.60480e-12
       4018.2004  2.59020e-12
       4020.9492  2.63160e-12
       4023.6978  2.63840e-12
       4026.4465  2.64950e-12
       4029.1951  2.61840e-12
       4031.9438  2.41870e-12
       4034.6924  2.39340e-12
       4037.4409  2.59140e-12
       4040.1897  2.67830e-12
       4042.9382  2.56190e-12
       4045.6868  2.26810e-12
       4048.4353  2.37450e-12
       4051.1841  2.56030e-12
       4053.9326  2.55710e-12
       4056.6812  2.45620e-12
       4059.4297  2.44160e-12
       4062.1782  2.43640e-12
       4064.9270  2.26250e-12
       4067.6755  2.36930e-12
       4070.4241  2.47030e-12
       4073.1726  2.37570e-12
       4075.9211  2.42080e-12
       4078.6697  2.33900e-12
       4081.4182  2.51500e-12
       4084.1667  2.59470e-12
       4086.9153  2.63550e-12
       4089.6638  2.76370e-12
       4092.4124  2.73100e-12
       4095.1609  2.61990e-12
       4097.9092  2.45860e-12
       4100.6577  2.25030e-12
       4103.4062  2.12890e-12
       4106.1548  2.39190e-12
       4108.9033  2.55570e-12
       4111.6519  2.62630e-12
       4114.4004  2.71140e-12
       4117.1489  2.78210e-12
       4119.8975  2.70730e-12
       4122.6455  2.70240e-12
       4125.3940  2.70580e-12
       4128.1426  2.63770e-12
       4130.8911  2.58620e-12
       4133.6396  2.57070e-12
       4136.3877  2.67100e-12
       4139.1362  2.77850e-12
       4141.8848  2.73970e-12
       4144.6333  2.53110e-12
       4147.3813  2.61900e-12
       4150.1299  2.68980e-12
       4152.8784  2.66340e-12
       4155.6270  2.55670e-12
       4158.3750  2.61660e-12
       4161.1235  2.71820e-12
       4163.8721  2.80060e-12
       4166.6201  2.77640e-12
       4169.3687  2.68230e-12
       4172.1167  2.58730e-12
       4174.8652  2.46170e-12
       4177.6138  2.53950e-12
       4180.3618  2.60600e-12
       4183.1104  2.57850e-12
       4185.8584  2.55130e-12
       4188.6069  2.48410e-12
       4191.3550  2.61360e-12
       4194.1035  2.68760e-12
       4196.8516  2.56560e-12
       4199.5996  2.42160e-12
       4202.3481  2.44120e-12
       4205.0962  2.58450e-12
       4207.8447  2.71400e-12
       4210.5928  2.74560e-12
       4213.3408  2.74870e-12
       4216.0894  2.66300e-12
       4218.8374  2.63960e-12
       4221.5854  2.64830e-12
       4224.3340  2.47510e-12
       4227.0820  2.16460e-12
       4229.8301  2.34550e-12
       4232.5781  2.58700e-12
       4235.3267  2.54200e-12
       4238.0747  2.44860e-12
       4240.8228  2.50900e-12
       4243.5708  2.60370e-12
       4246.3188  2.60930e-12
       4249.0669  2.46910e-12
       4251.8154  2.41530e-12
       4254.5635  2.51470e-12
       4257.3115  2.51740e-12
       4260.0596  2.45380e-12
       4262.8076  2.49440e-12
       4265.5557  2.61920e-12
       4268.3037  2.58390e-12
       4271.0518  2.34530e-12
       4273.7998  2.19520e-12
       4276.5479  2.32410e-12
       4279.2959  2.52690e-12
       4282.0435  2.45200e-12
       4284.7915  2.40170e-12
       4287.5396  2.32880e-12
       4290.2876  2.21660e-12
       4293.0356  2.25410e-12
       4295.7837  2.25690e-12
       4298.5312  2.06720e-12
       4301.2793  1.82560e-12
       4304.0273  1.80990e-12
       4306.7754  1.81150e-12
       4309.5229  1.73050e-12
       4312.2710  1.88510e-12
       4315.0190  2.24540e-12
